,AIP.R,AIP.pv,Age.R,Age.pv,CRP.R,CRP.pv,DBP.R,DBP.pv,FBS.R,FBS.pv,HDL.R,HDL.pv,HbA1c.R,HbA1c.pv,LDL.R,LDL.pv,SBP.R,SBP.pv,Sex.R,Sex.pv,Smoking.R,Smoking.pv,TC.R,TC.pv,TG.R,TG.pv,TyG.R,TyG.pv,WBC.R,WBC.pv
Age,-0.14813465239330906,0.0008923098971805643,0.0,0.0,0.08394870724117719,0.06068768536847801,-0.2656453044023842,1.6006161360976073e-09,-0.1295370056022631,0.0037135738999839944,0.0066798363729353525,0.8815587620482924,-0.13361993080274717,0.0027553570002051444,-0.08302325068141192,0.06359431208649699,0.034191353794711374,0.44555200999908834,-0.2304836461770658,1.8762746604112317e-07,-0.39281496700149593,6.771554969045502e-20,-0.13621579867786415,0.002269484742731775,-0.2052239303111592,3.7136216149023397e-06,-0.2015813993446573,5.547688897317856e-06,-0.15068150363899702,0.0007242609257292354
Sex,0.13425173637586285,0.0026290842191490035,-0.2304836461770658,1.8762746604112317e-07,-0.07524969356342066,0.0928004848787874,-0.030079535865619254,0.5021776625233315,0.016057735094750822,0.7202039151215421,-0.21186494077468193,1.7533467022232237e-06,-0.0021603403393641724,0.9615681439689238,-0.07974107665915765,0.07484067863961325,-0.10435013831646853,0.019602284883724043,0.0,0.0,0.4113922749893394,7.64956648400054e-22,-0.11899071338700638,0.007732720090921533,0.015432173996719804,0.730672779885494,0.0450462633670021,0.31477439035523325,0.08023349359144395,0.07305679091158365
Smoking,0.1556394147364944,0.00047798502208987534,-0.39281496700149593,6.771554969045502e-20,-0.051574782301039374,0.24968000753016256,0.032938534186578876,0.46241014510287104,-0.05650566169152763,0.20718257603387796,-0.13903190014301112,0.0018318924863058484,-0.037886237722083806,0.39791812751728345,0.03357036233722449,0.45386416951610936,-0.09808682936773852,0.02830094222044509,0.4113922749893394,7.64956648400054e-22,0.0,0.0,0.029060798241850806,0.5167717132629883,0.11286971136375672,0.011550031003614746,0.06843939998406869,0.12643469304243957,0.10911040040260996,0.014647959726190188
SBP,-0.0016510440524824636,0.9706236714029469,0.034191353794711374,0.44555200999908834,-0.07835890873026183,0.08003805389231952,0.6739627136629327,1.7365346406348178e-67,0.10642481508685281,0.017287321493147007,0.12076666890792154,0.006859951453433052,0.061357484964845346,0.17073308967527784,0.0944912910608847,0.03465820947816026,0.0,0.0,-0.10435013831646853,0.019602284883724043,-0.09808682936773852,0.02830094222044509,0.1446800222356989,0.0011780957561746154,0.09814605452009698,0.028205231358143512,0.09373186692162164,0.0361463604483284,0.05603552731556158,0.21099309170157948
DBP,0.03437173251497505,0.4431538956028582,-0.2656453044023842,1.6006161360976073e-09,-0.08025192369616276,0.07299070314028129,0.0,0.0,0.10044267611979579,0.024702231565644262,0.07804446951199302,0.08126036672616159,0.06004624855990861,0.18007498583507686,0.062097369164491614,0.16562409788999738,0.6739627136629327,1.7365346406348178e-67,-0.030079535865619254,0.5021776625233315,0.032938534186578876,0.46241014510287104,0.12312020326506204,0.005839575845554467,0.15188424328056827,0.0006555522930832598,0.11099887044832181,0.01301068998375308,0.07823937802441955,0.08050093642091057
HbA1c,0.2604185000836239,3.40346809065697e-09,-0.13361993080274717,0.0027553570002051444,0.04027566811704448,0.3688114481971089,0.06004624855990861,0.18007498583507686,0.6195285006782845,2.4982340867383014e-54,-0.1754138126407329,8.041173825121168e-05,0.0,0.0,0.09558060230467312,0.032614905012073925,0.061357484964845346,0.17073308967527784,-0.0021603403393641724,0.9615681439689238,-0.037886237722083806,0.39791812751728345,0.11690517074315605,0.008883282174992539,0.24870082684254696,1.7405392336826336e-08,0.46783447949866314,1.4729875384077156e-28,0.13219066149981887,0.0030616328647201426
FBS,0.15693728224697093,0.00042783491441404485,-0.1295370056022631,0.0037135738999839944,-0.03342094033073567,0.4558771647929499,0.10044267611979579,0.024702231565644262,0.0,0.0,-0.09653964996974441,0.03090197444840688,0.6195285006782845,2.4982340867383014e-54,0.0157317449913846,0.7256530299516446,0.10642481508685281,0.017287321493147007,0.016057735094750822,0.7202039151215421,-0.05650566169152763,0.20718257603387796,0.05261061689365509,0.2402836512444216,0.1982488713285894,7.958775447457124e-06,0.5731655591927731,5.302820929236824e-45,0.14605424140269427,0.0010555810333662873
TC,0.23059931883456058,1.8492739367407408e-07,-0.13621579867786415,0.002269484742731775,-0.1166065613564789,0.009059933917989456,0.12312020326506204,0.005839575845554467,0.05261061689365509,0.2402836512444216,0.25097484984514784,1.2761342672348466e-08,0.11690517074315605,0.008883282174992539,0.9324531608100954,2.4896477982240752e-222,0.1446800222356989,0.0011780957561746154,-0.11899071338700638,0.007732720090921533,0.029060798241850806,0.5167717132629883,0.0,0.0,0.4107434460863658,8.989186314563825e-22,0.37942946823178847,1.4425394139538903e-18,0.004073839461044851,0.9275989077599984
LDL,0.15742258310757182,0.0004103750243881933,-0.08302325068141192,0.06359431208649699,-0.07686993593432856,0.08596029823633579,0.062097369164491614,0.16562409788999738,0.0157317449913846,0.7256530299516446,0.07205239316409094,0.10757259916685324,0.09558060230467312,0.032614905012073925,0.0,0.0,0.0944912910608847,0.03465820947816026,-0.07974107665915765,0.07484067863961325,0.03357036233722449,0.45386416951610936,0.9324531608100954,2.4896477982240752e-222,0.168564715790029,0.0001525267388380828,0.2099641449968681,2.178873551380447e-06,-0.016995191980004057,0.7046134042989386
HDL,-0.6496684910374286,2.794654433098706e-61,0.0066798363729353525,0.8815587620482924,-0.1500875071715397,0.0007606009648511295,0.07804446951199302,0.08126036672616159,-0.09653964996974441,0.03090197444840688,0.0,0.0,-0.1754138126407329,8.041173825121168e-05,0.07205239316409094,0.10757259916685324,0.12076666890792154,0.006859951453433052,-0.21186494077468193,1.7533467022232237e-06,-0.13903190014301112,0.0018318924863058484,0.25097484984514784,1.2761342672348466e-08,-0.2246117218630499,3.877268955077265e-07,-0.27250175781708663,5.802374760557888e-10,-0.11475356509427068,0.010227719926499705
TG,0.8177999000542642,1.391900083979296e-121,-0.2052239303111592,3.7136216149023397e-06,-0.034656927157051876,0.43937731406864705,0.15188424328056827,0.0006555522930832598,0.1982488713285894,7.958775447457124e-06,-0.2246117218630499,3.877268955077265e-07,0.24870082684254696,1.7405392336826336e-08,0.168564715790029,0.0001525267388380828,0.09814605452009698,0.028205231358143512,0.015432173996719804,0.730672779885494,0.11286971136375672,0.011550031003614746,0.4107434460863658,8.989186314563825e-22,0.0,0.0,0.8327833146987152,5.539681722513915e-130,0.1500486638691763,0.0007630351850927329
WBC,0.16921607184717863,0.0001436681038328473,-0.15068150363899702,0.0007242609257292354,0.2350481972214606,1.052848492871842e-07,0.07823937802441955,0.08050093642091057,0.14605424140269427,0.0010555810333662873,-0.11475356509427068,0.010227719926499705,0.13219066149981887,0.0030616328647201426,-0.016995191980004057,0.7046134042989386,0.05603552731556158,0.21099309170157948,0.08023349359144395,0.07305679091158365,0.10911040040260996,0.014647959726190188,0.004073839461044851,0.9275989077599984,0.1500486638691763,0.0007630351850927329,0.1882348072706358,2.2707940657949894e-05,0.0,0.0
CRP,0.04881711321645266,0.27593284094735415,0.08394870724117719,0.06068768536847801,0.0,0.0,-0.08025192369616276,0.07299070314028129,-0.03342094033073567,0.4558771647929499,-0.1500875071715397,0.0007606009648511295,0.04027566811704448,0.3688114481971089,-0.07686993593432856,0.08596029823633579,-0.07835890873026183,0.08003805389231952,-0.07524969356342066,0.0928004848787874,-0.051574782301039374,0.24968000753016256,-0.1166065613564789,0.009059933917989456,-0.034656927157051876,0.43937731406864705,-0.056190563862305726,0.20973095069749745,0.2350481972214606,1.052848492871842e-07
AIP,0.0,0.0,-0.14813465239330906,0.0008923098971805643,0.04881711321645266,0.27593284094735415,0.03437173251497505,0.4431538956028582,0.15693728224697093,0.00042783491441404485,-0.6496684910374286,2.794654433098706e-61,0.2604185000836239,3.40346809065697e-09,0.15742258310757182,0.0004103750243881933,-0.0016510440524824636,0.9706236714029469,0.13425173637586285,0.0026290842191490035,0.1556394147364944,0.00047798502208987534,0.23059931883456058,1.8492739367407408e-07,0.8177999000542642,1.391900083979296e-121,0.8162932379185059,8.816442138314089e-121,0.16921607184717863,0.0001436681038328473
TyG,0.8162932379185059,8.816442138314089e-121,-0.2015813993446573,5.547688897317856e-06,-0.056190563862305726,0.20973095069749745,0.11099887044832181,0.01301068998375308,0.5731655591927731,5.302820929236824e-45,-0.27250175781708663,5.802374760557888e-10,0.46783447949866314,1.4729875384077156e-28,0.2099641449968681,2.178873551380447e-06,0.09373186692162164,0.0361463604483284,0.0450462633670021,0.31477439035523325,0.06843939998406869,0.12643469304243957,0.37942946823178847,1.4425394139538903e-18,0.8327833146987152,5.539681722513915e-130,0.0,0.0,0.1882348072706358,2.2707940657949894e-05
